Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.152, 0.134, 0.158, 0.201, 0.174, 0.190, 0.198, 0.210, 0.210, 0.215, 0.217, 0.209, 0.227, 0.234, 0.235, 0.232, 0.229, 0.226, 0.232, 0.227
Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.283, 0.253, 0.278, 0.337, 0.286, 0.327, 0.343, 0.359, 0.372, 0.375, 0.397, 0.357, 0.409, 0.401, 0.403, 0.411, 0.411, 0.403, 0.400, 0.405
Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.131, 0.118, 0.148, 0.226, 0.211, 0.171, 0.209, 0.225, 0.190, 0.223, 0.217, 0.186, 0.236, 0.236, 0.236, 0.224, 0.216, 0.201, 0.225, 0.213
Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.024, 0.004, 0.003, 0.045, 0.014, 0.030, 0.023, 0.054, 0.043, 0.063, 0.053, 0.045, 0.073, 0.062, 0.046, 0.064, 0.076, 0.061, 0.067, 0.068
Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.155, 0.156, 0.148, 0.228, 0.175, 0.196, 0.212, 0.212, 0.217, 0.250, 0.227, 0.242, 0.234, 0.261, 0.278, 0.263, 0.265, 0.261, 0.258, 0.265
Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.282, 0.238, 0.300, 0.350, 0.363, 0.328, 0.352, 0.353, 0.345, 0.363, 0.365, 0.357, 0.374, 0.387, 0.383, 0.378, 0.376, 0.368, 0.384, 0.368
Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.184, 0.156, 0.176, 0.213, 0.211, 0.207, 0.199, 0.214, 0.201, 0.238, 0.215, 0.220, 0.210, 0.226, 0.225, 0.220, 0.219, 0.224, 0.225, 0.220
Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.234, 0.217, 0.232, 0.308, 0.286, 0.278, 0.294, 0.284, 0.265, 0.304, 0.279, 0.325, 0.319, 0.327, 0.328, 0.312, 0.320, 0.317, 0.330, 0.324
Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.243, 0.223, 0.244, 0.314, 0.294, 0.285, 0.300, 0.295, 0.273, 0.314, 0.289, 0.334, 0.332, 0.337, 0.342, 0.325, 0.332, 0.324, 0.341, 0.336
Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.028, 0.013, 0.013, 0.055, 0.023, 0.039, 0.038, 0.061, 0.057, 0.075, 0.070, 0.069, 0.084, 0.085, 0.061, 0.077, 0.088, 0.071, 0.080, 0.080
Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.216, 0.205, 0.203, 0.295, 0.234, 0.283, 0.265, 0.301, 0.258, 0.318, 0.299, 0.338, 0.305, 0.355, 0.361, 0.342, 0.360, 0.345, 0.355, 0.367
Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.398, 0.354, 0.440, 0.486, 0.506, 0.427, 0.503, 0.442, 0.436, 0.490, 0.452, 0.505, 0.516, 0.491, 0.526, 0.486, 0.488, 0.483, 0.517, 0.500